# Time,     Fx,      Fy,      Fz,      Mx,      My,      Mz						
# (s)       (N)      (N)      (N)      (N-m)    (N-m)    (N-m)						
300	0	      0	        0       0       0	0
300.01	0             0	        0	0	0	0
304.2	369.2306533	1107.69196	0	0	0	0
304.21	246.1537688	1107.69196	0	0	0	0
304.22	-246.1537688	861.538191	0	0	0	0
304.23	-369.2306533	615.3844221	0	0	0	0
304.24	369.2306533	738.4613065	0	0	0	0
304.25	1230.768844	738.4613065	0	0	0	0
304.26	1353.845729	738.4613065	0	0	0	0
304.27	861.538191	615.3844221	0	0	0	0
304.28	492.3075377	738.4613065	0	0	0	0
304.29	615.3844221	984.6150754	0	0	0	0
304.3	492.3075377	1353.845729	0	0	0	0
304.31	369.2306533	1476.922613	0	0	0	0
304.32	492.3075377	1107.69196	0	0	0	0
304.33	615.3844221	492.3075377	0	0	0	0
304.34	369.2306533	246.1537688	0	0	0	0
304.35	123.0768844	492.3075377	0	0	0	0
304.36	369.2306533	861.538191	0	0	0	0
304.37	615.3844221	984.6150754	0	0	0	0
304.38	492.3075377	861.538191	0	0	0	0
304.39	246.1537688	615.3844221	0	0	0	0
304.4	246.1537688	738.4613065	0	0	0	0
304.41	615.3844221	984.6150754	0	0	0	0
304.42	984.6150754	1230.768844	0	0	0	0
304.43	984.6150754	1230.768844	0	0	0	0
304.44	738.4613065	984.6150754	0	0	0	0
304.45	246.1537688	615.3844221	0	0	0	0
304.46	-246.1537688	615.3844221	0	0	0	0
304.47	-123.0768844	984.6150754	0	0	0	0
304.48	492.3075377	1353.845729	0	0	0	0
304.49	861.538191	1353.845729	0	0	0	0
304.5	861.538191	861.538191	0	0	0	0
304.51	492.3075377	492.3075377	0	0	0	0
304.52	246.1537688	615.3844221	0	0	0	0
304.53	246.1537688	984.6150754	0	0	0	0
304.54	861.538191	1107.69196	0	0	0	0
304.55	1599.999497	984.6150754	0	0	0	0
304.56	1599.999497	861.538191	0	0	0	0
304.57	492.3075377	1107.69196	0	0	0	0
304.58	-492.3075377	1353.845729	0	0	0	0
304.59	-246.1537688	1476.922613	0	0	0	0
304.6	492.3075377	1353.845729	0	0	0	0
304.61	738.4613065	861.538191	0	0	0	0
304.62	861.538191	246.1537688	0	0	0	0
